Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Voltage (V),Voltage (V)
11/18/18 1:30,60.2,0.123,0.006
11/18/18 1:30,60.4,0.121,0.005
11/18/18 1:30,60.6,0.117,0.007
11/18/18 1:30,60.8,0.127,0.005
11/18/18 1:30,61,0.144,0.005
11/18/18 1:30,61.2,0.153,0.005
11/18/18 1:30,61.4,0.151,0.005
11/18/18 1:30,61.6,0.143,0.005
11/18/18 1:30,61.8,0.135,0.385
11/18/18 1:30,62,0.135,0.385
11/18/18 1:30,62.2,0.135,0.006
11/18/18 1:30,62.4,0.126,0.005
11/18/18 1:30,62.6,0.121,0.005
11/18/18 1:30,62.8,0.122,0.007
11/18/18 1:30,63,0.145,0.006
11/18/18 1:30,63.2,0.142,0.007
11/18/18 1:30,63.4,0.133,0.006
11/18/18 1:30,63.6,0.141,0.005
11/18/18 1:30,63.8,0.13,0.006
11/18/18 1:30,64,0.135,0.005
11/18/18 1:30,64.2,0.145,0.006
11/18/18 1:30,64.4,0.142,0.005
11/18/18 1:30,64.6,0.128,0.005
11/18/18 1:30,64.8,0.132,0.005
11/18/18 1:30,65,0.132,0.006
11/18/18 1:30,65.2,0.137,0.005
11/18/18 1:30,65.4,0.128,0.006
11/18/18 1:30,65.6,0.136,0.005
11/18/18 1:30,65.8,0.136,0.005
11/18/18 1:30,66,0.128,0.005
11/18/18 1:30,66.2,0.127,0.005
11/18/18 1:30,66.4,0.131,0.005
11/18/18 1:30,66.6,0.137,0.005
11/18/18 1:30,66.8,0.143,0.005
11/18/18 1:30,67,0.156,0.005
11/18/18 1:30,67.2,0.147,0.005
11/18/18 1:30,67.4,0.14,0.005
11/18/18 1:30,67.6,0.131,0.006
11/18/18 1:30,67.8,0.137,0.005
11/18/18 1:30,68,0.138,0.006
11/18/18 1:30,68.2,0.141,0.005
11/18/18 1:30,68.4,0.134,0.005
11/18/18 1:30,68.6,0.134,0.005
11/18/18 1:30,68.8,0.127,0.005
11/18/18 1:30,69,0.135,0.005
11/18/18 1:30,69.2,0.135,0.005
11/18/18 1:30,69.4,0.146,0.005
11/18/18 1:30,69.6,0.146,0.005
11/18/18 1:30,69.8,0.141,0.005
11/18/18 1:30,70,0.135,0.005
11/18/18 1:30,70.2,0.132,0.006
